time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1671352873.58280706,0.00454078,0.00091510,0.00000274,13882.00000000,0.00688732,0.000000,0.000000
1671352873.68367434,0.00454453,0.00076585,0.00000274,13951.00000000,0.00618160,0.000000,0.000000
1671352873.78452921,0.00455001,0.00083647,0.00000306,14008.00000000,0.00695240,0.000000,0.000000
1671352873.88541555,0.00455691,0.00118161,0.00000335,14105.00000000,0.00758607,0.000000,0.000000
1671352873.98619509,0.00456326,0.00084155,0.00000326,14110.00000000,0.00735445,0.000000,0.000000
1671352874.08710527,0.00457088,0.00069478,0.00000323,14171.00000000,0.00793032,0.000000,0.000000
1671352874.18792939,0.00457817,0.00068076,0.00000335,14246.00000000,0.00780054,0.000000,0.000000
1671352874.28879023,0.00458878,0.00101906,0.00000403,14276.00000000,0.00928975,0.000000,0.000000
1671352874.38966370,0.00459595,0.00086289,0.00000331,14323.00000000,0.00778252,0.000000,0.000000
1671352874.49053192,0.00460258,0.00073617,0.00000329,14356.00000000,0.00754918,0.000000,0.000000
1671352874.59138918,0.00460706,0.00058778,0.00000277,14390.00000000,0.00660814,0.000000,0.000000
1671352874.69221830,0.00461234,0.00099358,0.00000281,14448.00000000,0.00697255,0.000000,0.000000
1671352874.79309940,0.00461744,0.00075902,0.00000269,13987.00000000,0.00690003,0.000000,0.000000
1671352874.89396000,0.00462556,0.00083793,0.00000326,14069.00000000,0.00827439,0.000000,0.000000
1671352874.99482679,0.00463112,0.00064000,0.00000286,14065.00000000,0.00713113,0.000000,0.000000
1671352875.09569621,0.00463615,0.00066601,0.00000282,14106.00000000,0.00690236,0.000000,0.000000
1671352875.19657660,0.00464163,0.00070129,0.00000313,14157.00000000,0.00711974,0.000000,0.000000
1671352875.29740381,0.00464468,0.00067003,0.00000267,14223.00000000,0.00602784,0.000000,0.000000
1671352875.39825964,0.00464896,0.00068750,0.00000277,14266.00000000,0.00658981,0.000000,0.000000
1671352875.49913359,0.00465330,0.00056207,0.00000299,14313.00000000,0.00663030,0.000000,0.000000
1671352875.59996080,0.00465930,0.00136236,0.00000298,14350.00000000,0.00739442,0.000000,0.000000
1671352875.70083809,0.00466401,0.00061197,0.00000280,14337.00000000,0.00681484,0.000000,0.000000
1671352875.80171251,0.00466820,0.00060267,0.00000330,14378.00000000,0.00659132,0.000000,0.000000
1671352875.90254450,0.00467209,0.00057775,0.00000292,14441.00000000,0.00645557,0.000000,0.000000
1671352876.00337911,0.00467494,0.00055557,0.00000290,14482.00000000,0.00598424,0.000000,0.000000
1671352876.10425854,0.00467792,0.00066082,0.00000282,14521.00000000,0.00605107,0.000000,0.000000
1671352876.20520163,0.00468402,0.00050743,0.00000353,14517.00000000,0.00750527,0.000000,0.000000
1671352876.30597901,0.00468632,0.00070828,0.00000280,14572.00000000,0.00575175,0.000000,0.000000
1671352876.40683007,0.00469228,0.00058516,0.00000328,14564.00000000,0.00745478,0.000000,0.000000
1671352876.50767660,0.00469974,0.00078730,0.00000427,14622.00000000,0.00816800,0.000000,0.000000
1671352876.60856915,0.00470236,0.00058775,0.00000290,14653.00000000,0.00592478,0.000000,0.000000
1671352876.70941210,0.00471165,0.00095771,0.00000402,14660.00000000,0.00905064,0.000000,0.000000
1671352876.81028628,0.00471443,0.00057880,0.00000292,14675.00000000,0.00601771,0.000000,0.000000
1671352876.91114521,0.00471703,0.00079810,0.00000283,14721.00000000,0.00593647,0.000000,0.000000
1671352877.01198673,0.00472054,0.00056613,0.00000286,14711.00000000,0.00636673,0.000000,0.000000
1671352877.11288714,0.00472346,0.00053884,0.00000283,14734.00000000,0.00609810,0.000000,0.000000
